source_family,source_category,source_subcategory,source_subcategory_id,canonical_sector,canonical_category,canonical_subcategory,reference_period,methodology_cluster,focal_group_count,leader_tbi,leader_group_count,leader_groups,leader_brand_labels,leader_brand_families,group_best_snapshot,leader_status,result_scope,category_denominator_status
Top Brand,Makanan dan Minuman,WHITE COFFEE,10,Beverages,Coffee,White Coffee,2026,top_brand_current_documented,2,10.0,1,Wings Group,Wings Group: TOP White Coffee,Wings Group: TOP Coffee,Wings Group: 10 (TOP White Coffee); Mayora: 6 (KOPIKO L.A. White),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Makanan dan Minuman,WHITE COFFEE,10,Beverages,Coffee,White Coffee,2025,top_brand_historical_unverified,2,9.1,1,Wings Group,Wings Group: TOP White Coffee,Wings Group: TOP Coffee,Wings Group: 9.1 (TOP White Coffee); Mayora: 7.4 (KOPIKO L.A. White),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2026,top_brand_current_documented,2,41.1,1,Unilever Indonesia,Unilever Indonesia: Buavita,Unilever Indonesia: Buavita,Unilever Indonesia: 41.1 (Buavita); Wings Group: 16 (Floridina),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2022,top_brand_historical_unverified,2,34.9,1,Unilever Indonesia,Unilever Indonesia: Buavita,Unilever Indonesia: Buavita,Unilever Indonesia: 34.9 (Buavita); Wings Group: 14.8 (Floridina),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2023,top_brand_historical_unverified,2,36.7,1,Unilever Indonesia,Unilever Indonesia: Buavita,Unilever Indonesia: Buavita,Unilever Indonesia: 36.7 (Buavita); Wings Group: 16.2 (Floridina),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2024,top_brand_historical_unverified,2,42.2,1,Unilever Indonesia,Unilever Indonesia: Buavita,Unilever Indonesia: Buavita,Unilever Indonesia: 42.2 (Buavita); Wings Group: 14.8 (Floridina),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2025,top_brand_historical_unverified,2,43.1,1,Unilever Indonesia,Unilever Indonesia: Buavita,Unilever Indonesia: Buavita,Unilever Indonesia: 43.1 (Buavita); Wings Group: 16.6 (Floridina),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2026,top_brand_current_documented,2,43.5,1,Unilever Indonesia,Unilever Indonesia: Lifebuoy,Unilever Indonesia: Lifebuoy,Unilever Indonesia: 43.5 (Lifebuoy); Wings Group: 9.1 (NUVO),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2022,top_brand_historical_unverified,2,40.0,1,Unilever Indonesia,Unilever Indonesia: Lifebuoy,Unilever Indonesia: Lifebuoy,Unilever Indonesia: 40 (Lifebuoy); Wings Group: 9.9 (NUVO),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2023,top_brand_historical_unverified,2,38.7,1,Unilever Indonesia,Unilever Indonesia: Lifebuoy,Unilever Indonesia: Lifebuoy,Unilever Indonesia: 38.7 (Lifebuoy); Wings Group: 11 (NUVO),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2024,top_brand_historical_unverified,2,32.8,1,Unilever Indonesia,Unilever Indonesia: Lifebuoy,Unilever Indonesia: Lifebuoy,Unilever Indonesia: 32.8 (Lifebuoy); Wings Group: 7.1 (NUVO),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2025,top_brand_historical_unverified,2,38.2,1,Unilever Indonesia,Unilever Indonesia: Lifebuoy,Unilever Indonesia: Lifebuoy,Unilever Indonesia: 38.2 (Lifebuoy); Wings Group: 6.8 (NUVO),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2026,top_brand_current_documented,2,60.3,1,Wings Group,Wings Group: Mie Sedaap Cup,Wings Group: Sedaap,Wings Group: 60.3 (Mie Sedaap Cup); Indofood: 17.8 (POP MIE),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2022,top_brand_historical_unverified,2,54.2,1,Indofood,Indofood: POP MIE,Indofood: Pop Mie,Indofood: 54.2 (POP MIE); Wings Group: 34.8 (Mie Sedaap Cup),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2023,top_brand_historical_unverified,2,56.1,1,Indofood,Indofood: POP MIE,Indofood: Pop Mie,Indofood: 56.1 (POP MIE); Wings Group: 35.3 (Mie Sedaap Cup),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2024,top_brand_historical_unverified,2,59.6,1,Wings Group,Wings Group: Mie Sedaap Cup,Wings Group: Sedaap,Wings Group: 59.6 (Mie Sedaap Cup); Indofood: 22.4 (POP MIE),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2025,top_brand_historical_unverified,2,56.9,1,Wings Group,Wings Group: Mie Sedaap Cup,Wings Group: Sedaap,Wings Group: 56.9 (Mie Sedaap Cup); Indofood: 24.4 (POP MIE),unique_focal_group_leader,focal-group leader only; not full-market category leader,complete_observed
