observation_id,universe_id,canonical_group,source_brand_label,canonical_brand_family,canonical_brand_key,source_category,source_subcategory,source_subcategory_id,canonical_sector,canonical_category,canonical_subcategory,reference_period,geography,methodology_cluster,metric,unit,tbi_value,focal_observed_position,focal_observed_brand_count,category_eligible_target_count,category_pending_ownership_target_count,category_observable_target_count,category_observed_target_count,category_explicit_not_available_target_count,category_not_observed_target_count,category_distinct_eligible_groups,category_denominator_status,leadership_eligible,comparison_scope,position_semantics
STD_TBG011_2026,AU014,Wings Group,TOP White Coffee,TOP Coffee,wings_group__top_coffee,Makanan dan Minuman,WHITE COFFEE,10,Beverages,Coffee,White Coffee,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,10.0,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG012_2026,AU015,Mayora,KOPIKO L.A. White,Kopiko,mayora__kopiko,Makanan dan Minuman,WHITE COFFEE,10,Beverages,Coffee,White Coffee,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,6.0,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG011_2022,AU014,Wings Group,TOP White Coffee,TOP Coffee,wings_group__top_coffee,Makanan dan Minuman,WHITE COFFEE,10,Beverages,Coffee,White Coffee,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,3.6,1,1,2,0,2,1,1,0,2,observable_with_explicit_unavailability,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG011_2023,AU014,Wings Group,TOP White Coffee,TOP Coffee,wings_group__top_coffee,Makanan dan Minuman,WHITE COFFEE,10,Beverages,Coffee,White Coffee,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,7.5,1,1,2,0,2,1,1,0,2,observable_with_explicit_unavailability,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG011_2024,AU014,Wings Group,TOP White Coffee,TOP Coffee,wings_group__top_coffee,Makanan dan Minuman,WHITE COFFEE,10,Beverages,Coffee,White Coffee,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,10.9,1,1,2,0,2,1,1,0,2,observable_with_explicit_unavailability,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG011_2025,AU014,Wings Group,TOP White Coffee,TOP Coffee,wings_group__top_coffee,Makanan dan Minuman,WHITE COFFEE,10,Beverages,Coffee,White Coffee,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,9.1,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG012_2025,AU015,Mayora,KOPIKO L.A. White,Kopiko,mayora__kopiko,Makanan dan Minuman,WHITE COFFEE,10,Beverages,Coffee,White Coffee,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,7.4,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG008_2026,AU010,Unilever Indonesia,Buavita,Buavita,unilever_indonesia__buavita,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,41.1,1,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG006_2026,AU008,Wings Group,Floridina,Floridina,wings_group__floridina,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,16.0,2,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG007_2026,AU009,Wings Group,ale-ale,ALE-ALE,wings_group__ale_ale,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,11.4,3,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG008_2022,AU010,Unilever Indonesia,Buavita,Buavita,unilever_indonesia__buavita,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,34.9,1,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG006_2022,AU008,Wings Group,Floridina,Floridina,wings_group__floridina,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,14.8,2,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG007_2022,AU009,Wings Group,ale-ale,ALE-ALE,wings_group__ale_ale,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,7.3,3,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG008_2023,AU010,Unilever Indonesia,Buavita,Buavita,unilever_indonesia__buavita,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,36.7,1,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG006_2023,AU008,Wings Group,Floridina,Floridina,wings_group__floridina,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,16.2,2,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG007_2023,AU009,Wings Group,ale-ale,ALE-ALE,wings_group__ale_ale,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,5.2,3,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG008_2024,AU010,Unilever Indonesia,Buavita,Buavita,unilever_indonesia__buavita,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,42.2,1,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG006_2024,AU008,Wings Group,Floridina,Floridina,wings_group__floridina,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,14.8,2,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG007_2024,AU009,Wings Group,ale-ale,ALE-ALE,wings_group__ale_ale,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,8.1,3,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG008_2025,AU010,Unilever Indonesia,Buavita,Buavita,unilever_indonesia__buavita,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,43.1,1,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG006_2025,AU008,Wings Group,Floridina,Floridina,wings_group__floridina,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,16.6,2,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG007_2025,AU009,Wings Group,ale-ale,ALE-ALE,wings_group__ale_ale,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,7.4,3,3,3,0,3,3,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG018_2026,AU020,Unilever Indonesia,Lifebuoy,Lifebuoy,unilever_indonesia__lifebuoy,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,43.5,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG017_2026,AU019,Wings Group,NUVO,Nuvo,wings_group__nuvo,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,9.1,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG018_2022,AU020,Unilever Indonesia,Lifebuoy,Lifebuoy,unilever_indonesia__lifebuoy,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,40.0,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG017_2022,AU019,Wings Group,NUVO,Nuvo,wings_group__nuvo,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,9.9,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG018_2023,AU020,Unilever Indonesia,Lifebuoy,Lifebuoy,unilever_indonesia__lifebuoy,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,38.7,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG017_2023,AU019,Wings Group,NUVO,Nuvo,wings_group__nuvo,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,11.0,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG018_2024,AU020,Unilever Indonesia,Lifebuoy,Lifebuoy,unilever_indonesia__lifebuoy,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,32.8,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG017_2024,AU019,Wings Group,NUVO,Nuvo,wings_group__nuvo,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,7.1,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
