canonical_group,source_family,source_category,source_subcategory,source_subcategory_id,canonical_sector,canonical_category,canonical_subcategory,reference_period,methodology_cluster,metric_scope,attribution_scope,eligible_target_count,pending_ownership_target_count,sensitivity_target_count,observable_target_count,observed_target_count,explicit_not_available_target_count,not_observed_target_count,context_only_target_count,standardized_observation_row_count,group_denominator_status,category_eligible_target_count,category_pending_ownership_target_count,category_observable_target_count,category_observed_target_count,category_explicit_not_available_target_count,category_not_observed_target_count,category_distinct_eligible_groups,category_denominator_status
Indofood,Brand Footprint,National urban+rural,public_summary_facts,,Food,Noodles,Instant Noodles,2020,brand_footprint_national,limited_public_fact,strict_control,1,0,0,1,1,0,0,0,1,limited_public_facts_context,1.0,0.0,1.0,1.0,0.0,0.0,1.0,limited_public_facts_context
Indofood,Brand Footprint,National urban+rural,public_summary_facts,,Food,Seasonings and Condiments,Food Seasonings,2020,brand_footprint_national,limited_public_fact,strict_control,1,0,0,1,1,0,0,0,1,limited_public_facts_context,1.0,0.0,1.0,1.0,0.0,0.0,1.0,limited_public_facts_context
Indofood,Top Brand,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2022,top_brand_historical_unverified,TBI,strict_control,1,0,0,1,1,0,0,0,1,complete_observed,3.0,0.0,3.0,3.0,0.0,0.0,3.0,complete_observed
Indofood,Top Brand,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2023,top_brand_historical_unverified,TBI,strict_control,1,0,0,1,1,0,0,0,1,complete_observed,3.0,0.0,3.0,3.0,0.0,0.0,3.0,complete_observed
Indofood,Top Brand,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2024,top_brand_historical_unverified,TBI,strict_control,1,0,0,1,1,0,0,0,1,complete_observed,3.0,0.0,3.0,3.0,0.0,0.0,3.0,complete_observed
Indofood,Top Brand,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2025,top_brand_historical_unverified,TBI,strict_control,1,0,0,1,1,0,0,0,1,complete_observed,3.0,0.0,3.0,3.0,0.0,0.0,3.0,complete_observed
Indofood,Top Brand,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2026,top_brand_current_documented,TBI,strict_control,1,0,0,1,1,0,0,0,1,complete_observed,3.0,0.0,3.0,3.0,0.0,0.0,3.0,complete_observed
Indofood,Top Brand,Makanan dan Minuman,KOPI BUBUK INSTANT,8,Beverages,Coffee,Instant Coffee,2022,top_brand_historical_unverified,TBI,strict_control,0,1,0,1,1,0,0,0,1,blocked_pending_ownership,2.0,1.0,2.0,1.0,1.0,1.0,1.0,blocked_pending_ownership
Indofood,Top Brand,Makanan dan Minuman,KOPI BUBUK INSTANT,8,Beverages,Coffee,Instant Coffee,2023,top_brand_historical_unverified,TBI,strict_control,0,1,0,1,1,0,0,0,1,blocked_pending_ownership,2.0,1.0,2.0,1.0,1.0,1.0,1.0,blocked_pending_ownership
Indofood,Top Brand,Makanan dan Minuman,KOPI BUBUK INSTANT,8,Beverages,Coffee,Instant Coffee,2024,top_brand_historical_unverified,TBI,strict_control,0,1,0,1,1,0,0,0,1,blocked_pending_ownership,2.0,1.0,2.0,2.0,0.0,1.0,1.0,blocked_pending_ownership
Indofood,Top Brand,Makanan dan Minuman,KOPI BUBUK INSTANT,8,Beverages,Coffee,Instant Coffee,2025,top_brand_historical_unverified,TBI,strict_control,0,1,0,1,1,0,0,0,1,blocked_pending_ownership,2.0,1.0,2.0,2.0,0.0,1.0,1.0,blocked_pending_ownership
Indofood,Top Brand,Makanan dan Minuman,KOPI BUBUK INSTANT,8,Beverages,Coffee,Instant Coffee,2026,top_brand_current_documented,TBI,strict_control,0,1,0,1,1,0,0,0,1,blocked_pending_ownership,2.0,1.0,2.0,2.0,0.0,1.0,1.0,blocked_pending_ownership
Indofood,Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2022,top_brand_historical_unverified,TBI,strict_control,3,0,0,2,2,0,1,0,2,incomplete_not_observed,4.0,0.0,3.0,3.0,0.0,1.0,2.0,incomplete_not_observed
Indofood,Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2023,top_brand_historical_unverified,TBI,strict_control,3,0,0,2,2,0,1,0,2,incomplete_not_observed,4.0,0.0,3.0,3.0,0.0,1.0,2.0,incomplete_not_observed
Indofood,Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2024,top_brand_historical_unverified,TBI,strict_control,3,0,0,2,2,0,1,0,2,incomplete_not_observed,4.0,0.0,3.0,3.0,0.0,1.0,2.0,incomplete_not_observed
Indofood,Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2025,top_brand_historical_unverified,TBI,strict_control,3,0,0,2,2,0,1,0,2,incomplete_not_observed,4.0,0.0,3.0,3.0,0.0,1.0,2.0,incomplete_not_observed
