source_label_series_key,family_series_key,universe_id,canonical_group,canonical_brand_family,canonical_brand_key,source_brand_label,canonical_sector,canonical_category,canonical_subcategory,source_subcategory_id,metric,unit,geography,methodology_cluster,methodology_status,attribution_scope,ownership_support_status,identity_continuity_treatment,available_period_count,observed_period_count,first_observed_period,last_observed_period,observed_periods,maximum_consecutive_observed_periods,consistency_eligibility,momentum_eligibility,persistence_follow_up_series_candidate,eligibility_exclusion_reason,methodology_caveat
AU001|Mie Sedaap|30|TBI|percent_index_points|Indonesia|top_brand_current_documented,wings_group__sedaap|30|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU001,Wings Group,Sedaap,wings_group__sedaap,Mie Sedaap,Food,Noodles,Bagged Instant Noodles,30,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,single_source_label,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU001|Mie Sedaap|30|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,wings_group__sedaap|30|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU001,Wings Group,Sedaap,wings_group__sedaap,Mie Sedaap,Food,Noodles,Bagged Instant Noodles,30,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,single_source_label,4,4,2022,2025,2022;2023;2024;2025,4,eligible_with_caveat,eligible_with_caveat,yes,,Historical Top Brand methodology is not independently verified.
AU003|Indomie|30|TBI|percent_index_points|Indonesia|top_brand_current_documented,indofood__indomie|30|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU003,Indofood,Indomie,indofood__indomie,Indomie,Food,Noodles,Bagged Instant Noodles,30,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,single_source_label,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU003|Indomie|30|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,indofood__indomie|30|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU003,Indofood,Indomie,indofood__indomie,Indomie,Food,Noodles,Bagged Instant Noodles,30,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,single_source_label,4,4,2022,2025,2022;2023;2024;2025,4,eligible_with_caveat,eligible_with_caveat,yes,,Historical Top Brand methodology is not independently verified.
AU004|Sarimi|30|TBI|percent_index_points|Indonesia|top_brand_current_documented,indofood__sarimi|30|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU004,Indofood,Sarimi,indofood__sarimi,Sarimi,Food,Noodles,Bagged Instant Noodles,30,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,single_source_label,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU004|Sarimi|30|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,indofood__sarimi|30|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU004,Indofood,Sarimi,indofood__sarimi,Sarimi,Food,Noodles,Bagged Instant Noodles,30,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,single_source_label,4,4,2022,2025,2022;2023;2024;2025,4,eligible_with_caveat,eligible_with_caveat,yes,,Historical Top Brand methodology is not independently verified.
AU006|Mie Sedaap Cup|31|TBI|percent_index_points|Indonesia|top_brand_current_documented,wings_group__sedaap|31|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU006,Wings Group,Sedaap,wings_group__sedaap,Mie Sedaap Cup,Food,Noodles,Cup Instant Noodles,31,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,single_source_label,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU006|Mie Sedaap Cup|31|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,wings_group__sedaap|31|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU006,Wings Group,Sedaap,wings_group__sedaap,Mie Sedaap Cup,Food,Noodles,Cup Instant Noodles,31,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,single_source_label,4,4,2022,2025,2022;2023;2024;2025,4,eligible_with_caveat,eligible_with_caveat,yes,,Historical Top Brand methodology is not independently verified.
AU007|POP MIE|31|TBI|percent_index_points|Indonesia|top_brand_current_documented,indofood__pop_mie|31|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU007,Indofood,Pop Mie,indofood__pop_mie,POP MIE,Food,Noodles,Cup Instant Noodles,31,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,single_source_label,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU007|POP MIE|31|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,indofood__pop_mie|31|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU007,Indofood,Pop Mie,indofood__pop_mie,POP MIE,Food,Noodles,Cup Instant Noodles,31,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,single_source_label,4,4,2022,2025,2022;2023;2024;2025,4,eligible_with_caveat,eligible_with_caveat,yes,,Historical Top Brand methodology is not independently verified.
AU008|Floridina|14|TBI|percent_index_points|Indonesia|top_brand_current_documented,wings_group__floridina|14|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU008,Wings Group,Floridina,wings_group__floridina,Floridina,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,14,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,single_source_label,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU008|Floridina|14|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,wings_group__floridina|14|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU008,Wings Group,Floridina,wings_group__floridina,Floridina,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,14,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,single_source_label,4,4,2022,2025,2022;2023;2024;2025,4,eligible_with_caveat,eligible_with_caveat,yes,,Historical Top Brand methodology is not independently verified.
AU009|ale-ale|14|TBI|percent_index_points|Indonesia|top_brand_current_documented,wings_group__ale_ale|14|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU009,Wings Group,ALE-ALE,wings_group__ale_ale,ale-ale,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,14,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,single_source_label,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU009|ale-ale|14|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,wings_group__ale_ale|14|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU009,Wings Group,ALE-ALE,wings_group__ale_ale,ale-ale,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,14,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,single_source_label,4,4,2022,2025,2022;2023;2024;2025,4,eligible_with_caveat,eligible_with_caveat,yes,,Historical Top Brand methodology is not independently verified.
AU010|Buavita|14|TBI|percent_index_points|Indonesia|top_brand_current_documented,unilever_indonesia__buavita|14|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU010,Unilever Indonesia,Buavita,unilever_indonesia__buavita,Buavita,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,14,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,single_source_label,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
