structural_record_id,group,operating_company,brand_family,brand,category_scope,relationship_type,ownership_start,ownership_end,source_id,verification_status,notes,category_crosswalk_id,canonical_sector,canonical_category,canonical_subcategory,primary_universe_status,category_mapping_status,current_at_reference_date,strict_control_primary,structural_brand_count_key,structural_brand_breadth_eligible,structural_category_breadth_eligible,structural_category_count_key,structural_exclusion_reason
STR_001,Wings Group,Operating entity unresolved within Wings Group,ALE-ALE,ALE-ALE,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__ale_ale,yes,no,,category_mapping_not_ready_for_category_breadth
STR_002,Wings Group,Operating entity unresolved within Wings Group,AQUVIVA,AQUVIVA,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__aquviva,yes,no,,category_mapping_not_ready_for_category_breadth
STR_003,Wings Group,Operating entity unresolved within Wings Group,Baby Happy,Baby Happy,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__baby_happy,yes,no,,category_mapping_not_ready_for_category_breadth
STR_004,Wings Group,Operating entity unresolved within Wings Group,Boom,Boom,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__boom,yes,no,,category_mapping_not_ready_for_category_breadth
STR_005,Wings Group,Operating entity unresolved within Wings Group,Sedaap,Bumbu Kaldu Sedaap,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__sedaap,yes,no,,category_mapping_not_ready_for_category_breadth
STR_006,Wings Group,Operating entity unresolved within Wings Group,ChocoDrink,ChocoDrink,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__chocodrink,yes,no,,category_mapping_not_ready_for_category_breadth
STR_007,Wings Group,Operating entity unresolved within Wings Group,Daia,Daia,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__daia,yes,no,,category_mapping_not_ready_for_category_breadth
STR_008,Wings Group,Operating entity unresolved within Wings Group,EkoMie,EkoMie,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__ekomie,yes,no,,category_mapping_not_ready_for_category_breadth
STR_009,Wings Group,Operating entity unresolved within Wings Group,Ekonomi,Ekonomi Power Liquid,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__ekonomi,yes,no,,category_mapping_not_ready_for_category_breadth
STR_010,Wings Group,Operating entity unresolved within Wings Group,Floridina,Floridina,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__floridina,yes,no,,category_mapping_not_ready_for_category_breadth
